question,condition,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean
Er hat freund- und höflich abgesagt.,Mix 3'.1,participant_50,2.0,Juni,3.0625,-1.0625
Die Arbeitsleistung ist gewöhn- und ordentlich.,Mix 6.6,participant_50,3.0,Juni,3.0625,-0.0625
Das klingt als wäre er sehr empfind- und anhänglich.,Mix 6'.7,participant_50,3.0,Juni,3.0625,-0.0625
In diesem Zustand ist die Deutsche Bahn leider weder pünkt- noch nützlich.,U 1.8,participant_50,3.0,Juni,3.0625,-0.0625
Die Lieder sind fröh- und tröstlich.,U 1'.1,participant_50,3.0,Juni,3.0625,-0.0625
Sie fördert und fordert ihn nachdrück- und zärtlich.,U 4.2,participant_50,2.0,Juni,3.0625,-1.0625
Schottergärten sind häss- und grässlich.,U 4'.3,participant_50,3.0,Juni,3.0625,-0.0625
Nudeln sind der neue Reis.,Deutsch_test_2,participant_50,4.0,Juni,3.0625,0.9375
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_50,3.0,Juni,3.0625,-0.0625
"Der Zuschauer denkt er, dass die Sendung angeguckt hat.",F,participant_51,1.0,Oktober,1.96875,-0.96875
Der Junge wurde vor benotet und bewertet.,F,participant_51,1.0,Oktober,1.96875,-0.96875
Am Strand liegen viele Urlauber in der Sonne.,F,participant_51,7.0,Oktober,1.96875,5.03125
Am Strand liegen viele Urlauber in der Sonne.,F,participant_51,7.0,Oktober,1.96875,5.03125
Wie hat die Polizei welchen Fall gelöst?,F,participant_51,7.0,Oktober,1.96875,5.03125
"Im Wald glaubt sie, hat der Jäger den Förster gesehen.",F,participant_51,1.0,Oktober,1.96875,-0.96875
Der Anwalt setzt sich für die Gleich- und Freiheit aller Menschen ein.,H 1.4,participant_51,1.0,Oktober,1.96875,-0.96875
Das ist die Besonder- und Verrücktheit ihrer Herangehensweise.,H 1'.5,participant_51,1.0,Oktober,1.96875,-0.96875
Das Hotel bietet Gelegen- und Abgeschiedenheit zum Entspannen.,H 4.2,participant_51,1.0,Oktober,1.96875,-0.96875
Die Tat wurde mit Verlogen- und Trunkenheit begangen.,H 4'.3,participant_51,1.0,Oktober,1.96875,-0.96875
Er ist immer wieder in finanzielle Schwierig- und Abhängigkeiten geraten.,K 2.6,participant_51,1.0,Oktober,1.96875,-0.96875
Die Zeit danach war von Traurig- und Einsamkeit geprägt.,K 2'.7,participant_51,1.0,Oktober,1.96875,-0.96875
Das ist seine Art von Öffentlich- und Wohltätigkeit.,K 5.4,participant_51,2.0,Oktober,1.96875,0.03125
Der Autounfall ist auf Unzurechnungsfähig- und Fahrlässigkeit zurückzuführen.,K 5'.1,participant_51,2.0,Oktober,1.96875,0.03125
Die Passkontrolle am Flughafen ist üb- und polizeilich.,L 2.6,participant_51,1.0,Oktober,1.96875,-0.96875
Der Chef war dienst- und beruflich in Singapur.,L 2'.7,participant_51,1.0,Oktober,1.96875,-0.96875
Das war schließ- und augenblicklich das Ende.,L 5.4,participant_51,1.0,Oktober,1.96875,-0.96875
Die Neuigkeiten sind für sie gleichzeitig bedroh- und erfreulich.,L 5'.1,participant_51,1.0,Oktober,1.96875,-0.96875
Sie ist voller kindischer Verliebt- und Fröhlichkeit.,Mis 3.8,participant_51,1.0,Oktober,1.96875,-0.96875
Die Geisterbahn ist voller Grausam- und Dunkelheit.,Mis 3'.1,participant_51,1.0,Oktober,1.96875,-0.96875
Für Kinder sind Geborgen- und Unabhängigkeit wichtig.,Mis 6.2,participant_51,2.0,Oktober,1.96875,0.03125
Die Autorin wirkte sehr sympathisch durch ihre Liebenswürdig- und Bescheidenheit.,Mis 6'.3,participant_51,1.0,Oktober,1.96875,-0.96875
Für die Gesundheit ist Ruhe wichtig vor allem nächt- und abendlich.,Mix 3.8,participant_51,1.0,Oktober,1.96875,-0.96875
Er hat freund- und höflich abgesagt.,Mix 3'.1,participant_51,1.0,Oktober,1.96875,-0.96875
Mutproben sind gefähr- und schrecklich.,Mix 6.2,participant_51,1.0,Oktober,1.96875,-0.96875
Sie hat aber wirk- und tatsächlich mehr verlangt.,Mix 6'.3,participant_51,1.0,Oktober,1.96875,-0.96875
Sie ist eher so der häus- und ängstliche Typ.,U 1.4,participant_51,1.0,Oktober,1.96875,-0.96875
Die beiden behandeln den Welpen väter- und mütterlich.,U 1'.5,participant_51,6.0,Oktober,1.96875,4.03125
Sie fördert und fordert ihn nachdrück- und zärtlich.,U 4.2,participant_51,1.0,Oktober,1.96875,-0.96875
Schottergärten sind häss- und grässlich.,U 4'.3,participant_51,1.0,Oktober,1.96875,-0.96875
Nudeln sind der neue Reis.,Deutsch_test_2,participant_51,6.0,Oktober,1.96875,4.03125
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_51,1.0,Oktober,1.96875,-0.96875
Bei der Schülerversammlung die Klassen wählen nacheinander und ordnungsgemäß die Schulsprecher.,F,participant_52,1.0,Mai,4.28125,-3.28125
Der alte und geschützte Wald wurde vor gerodet.,F,participant_52,1.0,Mai,4.28125,-3.28125
Die Mutter hat ihren kleinen Sohn zum Kindergarten gebracht.,F,participant_52,7.0,Mai,4.28125,2.71875
Die Nachbarin hat der Frau den neuen und großen Blumenladen empfohlen.,F,participant_52,7.0,Mai,4.28125,2.71875
Ich habe dem Kunden sich selbst im Spiegel präsentiert.,F,participant_52,3.0,Mai,4.28125,-1.28125
Die Marathonläufer haben einander ihn als fähigen Trainer vorgeschlagen.,F,participant_52,2.0,Mai,4.28125,-2.28125
Die Einfach- und Klarheit der Lösung erstaunte alle.,H 1.1,participant_52,5.0,Mai,4.28125,0.71875
Ihr Auftreten strahlt Sicher- und Gewissheit aus.,H 1'.2,participant_52,4.0,Mai,4.28125,-0.28125
Die Tat wurde mit Trunken- und Verlogenheit begangen.,H 4.3,participant_52,4.0,Mai,4.28125,-0.28125
Die Allgemein- und Gesamtheit der Regeln spricht dafür.,H 4'.4,participant_52,7.0,Mai,4.28125,2.71875
Den Redakteur würde ein Mangel an Aufmerksam- und Aufrichtigkeit am meisten stören.,K 2.3,participant_52,5.0,Mai,4.28125,0.71875
Sie legt viel wert auf Pünktlich- und Höflichkeit.,K 2'.4,participant_52,6.0,Mai,4.28125,1.71875
Das Weihnachtsfest umgibt eine Atmosphäre von Heilig- und Seligkeit.,K 5.5,participant_52,6.0,Mai,4.28125,1.71875
Die Ordensleute erzählen immer von Momenten der Barmherzig- und Glückseligkeit.,K 5'.6,participant_52,7.0,Mai,4.28125,2.71875
Das Lachen ist kind- und herzlich.,L 2.3,participant_52,5.0,Mai,4.28125,0.71875
Ihre Beziehung ist immer noch glück- und leidenschaftlich.,L 2'.4,participant_52,2.0,Mai,4.28125,-2.28125
Die Ergebnisse sind wissenschaft- und vertraulich.,L 5.5,participant_52,5.0,Mai,4.28125,0.71875
Am Anfang hat der Wein wider- und abscheulich geschmeckt.,L 5'.6,participant_52,4.0,Mai,4.28125,-0.28125
Die Geisterbahn ist voller Dunkel- und Grausamkeit.,Mis 3.1,participant_52,6.0,Mai,4.28125,1.71875
Dafür sind Großzügig- und Verbundenheit entscheidend.,Mis 3'.2,participant_52,1.0,Mai,4.28125,-3.28125
Für sie gelten Konzepte wie Keusch- und Jungfräulichkeit häufiger.,Mis 6.7,participant_52,3.0,Mai,4.28125,-1.28125
Viele werden sich im Alter ihrer Sterblich- und Unzufriedenheit bewusst.,Mis 6'.8,participant_52,2.0,Mai,4.28125,-2.28125
Er hat höf- und freundlich abgesagt.,Mix 3.1,participant_52,3.0,Mai,4.28125,-1.28125
Die Bezahlung vieler Berufe ist leid- und kümmerlich.,Mix 3'.2,participant_52,6.0,Mai,4.28125,1.71875
Das klingt als wäre er sehr anhäng- und empfindlich.,Mix 6.7,participant_52,5.0,Mai,4.28125,0.71875
Der ganze Papierkram für ein Visum ist erforder- und umständlich.,Mix 6'.8,participant_52,3.0,Mai,4.28125,-1.28125
Die Lieder sind tröst- und fröhlich.,U 1.1,participant_52,5.0,Mai,4.28125,0.71875
wenn die töd- und jährliche Malariasaison wieder vor der Tür steht.,U 1'.2,participant_52,2.0,Mai,4.28125,-2.28125
Schottergärten sind gräss- und hässlich.,U 4.3,participant_52,6.0,Mai,4.28125,1.71875
Der Tiger hat den Pfleger plötz- und vorsätzlich angegriffen.,U 4'.4,participant_52,6.0,Mai,4.28125,1.71875
Nudeln sind der neue Reis.,Deutsch_test_2,participant_52,7.0,Mai,4.28125,2.71875
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_52,1.0,Mai,4.28125,-3.28125
Die Katze wurde unter gestreichelt und gekrault.,F,participant_53,2.0,Dezember,2.71875,-0.71875
Der Polizist hat den komplizierten Fall endlich gelöst.,F,participant_53,7.0,Dezember,2.71875,4.28125
"Er weiß, der Mann hat das neue und teure Handy geklaut.",F,participant_53,2.0,Dezember,2.71875,-0.71875
"In Bayern meinte sie, haben die Lehrer die Schüler mehr unter Kontrolle.",F,participant_53,4.0,Dezember,2.71875,1.28125
"Ihr fahrt gerne in die Berge, obwohl ihr wohnt sehr nahe am Meer.",F,participant_53,1.0,Dezember,2.71875,-1.71875
Da gelacht rüber hat der Moderator natürlich nicht.,F,participant_53,1.0,Dezember,2.71875,-1.71875
Ihr Auftreten strahlt Gewiss- und Sicherheit aus.,H 1.2,participant_53,4.0,Dezember,2.71875,1.28125
Der Diamant ist von seltener Rein- und Schönheit.,H 1'.3,participant_53,3.0,Dezember,2.71875,0.28125
Eine Ausbildung in Frankreich steht für Gewandt- und Kultiviertheit.,H 4.8,participant_53,3.0,Dezember,2.71875,0.28125
Sie strahlen Erhaben- und Vergangenheit aus.,H 4'.1,participant_53,3.0,Dezember,2.71875,0.28125
Sie legt viel wert auf Höflich- und Pünktlichkeit.,K 2.4,participant_53,3.0,Dezember,2.71875,0.28125
Die Wichtig- und Richtigkeit der Erkenntnisse kann nicht oft genug betont werden.,K 2'.5,participant_53,6.0,Dezember,2.71875,3.28125
Jede Zeit kommt mit einer eigenen Idee von Männlich- und Weiblichkeit.,K 5.2,participant_53,7.0,Dezember,2.71875,4.28125
Die Erkenntnis über seine Gleichgültig- und Eitelkeit kam aber zu spät.,K 5'.3,participant_53,2.0,Dezember,2.71875,-0.71875
Ihre Beziehung ist immer noch leidenschaft- und glücklich.,L 2.4,participant_53,3.0,Dezember,2.71875,0.28125
Der Schraubenzieher ist hand- und dünnlich.,L 2'.5,participant_53,2.0,Dezember,2.71875,-0.71875
Seine Antwort war ehr- und erstaunlich.,L 5.2,participant_53,1.0,Dezember,2.71875,-1.71875
weil er behilf- und niedlich ist.,L 5'.3,participant_53,1.0,Dezember,2.71875,-1.71875
Die gute Zusammenarbeit basiert auf Vertraut- und Einigkeit.,Mis 3.6,participant_53,3.0,Dezember,2.71875,0.28125
Die Zuständig- und Begebenheiten in dem Fall sind noch nicht geklärt.,Mis 3'.7,participant_53,2.0,Dezember,2.71875,-0.71875
Vor lauter Beschränkt- und Bitterkeit hat der Nachbar keinen Kontakt zu den anderen.,Mis 6.4,participant_53,2.0,Dezember,2.71875,-0.71875
Sie strahlt Glaubwürdig- und Selbstsicherheit aus.,Mis 6'.1,participant_53,1.0,Dezember,2.71875,-1.71875
Sie treffen sich täg- und heimlich.,Mix 3.6,participant_53,2.0,Dezember,2.71875,-0.71875
Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,Mix 3'.7,participant_53,2.0,Dezember,2.71875,-0.71875
Der Auftritt war lächer- und peinlich.,Mix 6.4,participant_53,1.0,Dezember,2.71875,-1.71875
Nachhaltig zu leben ist verantwort- und natürlich.,Mix 6'.1,participant_53,4.0,Dezember,2.71875,1.28125
wenn die jähr- und tödliche Malariasaison wieder vor der Tür steht.,U 1.2,participant_53,3.0,Dezember,2.71875,0.28125
Der Pfarrer hat sie irrtüm- und kürzlich kontaktiert.,U 1'.3,participant_53,2.0,Dezember,2.71875,-0.71875
Seine Verteidigung war widersprüch- und jämmerlich.,U 4.8,participant_53,2.0,Dezember,2.71875,-0.71875
Es schmeckt vorzüg- und köstlich.,U 4'.1,participant_53,1.0,Dezember,2.71875,-1.71875
Nudeln sind der neue Reis.,Deutsch_test_2,participant_53,6.0,Dezember,2.71875,3.28125
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_53,1.0,Dezember,2.71875,-1.71875
Das Haus wurde unter gestrichen.,F,participant_54,5.0,Juni,2.8125,2.1875
Die Familie hat eine teure Reise voreilig gebucht.,F,participant_54,5.0,Juni,2.8125,2.1875
"Er glaubt, die Mannschaft hat den Schiedsrichter bestochen.",F,participant_54,5.0,Juni,2.8125,2.1875
"Auf der Fähre glaubt er, hat der Urlauber den Kontrolleur belogen.",F,participant_54,2.0,Juni,2.8125,-0.8125
"Die Familie isst gerne griechisch und türkisch, obwohl sie lebt jetzt in Italien.",F,participant_54,2.0,Juni,2.8125,-0.8125
Da gestimmt für hat der Wähler aber nicht.,F,participant_54,2.0,Juni,2.8125,-0.8125
Viele streben innere Gelassen- und Zufriedenheit an.,H 1.8,participant_54,4.0,Juni,2.8125,1.1875
Die Klar- und Einfachheit der Lösung erstaunte alle.,H 1'.1,participant_54,4.0,Juni,2.8125,1.1875
Das Hotel bietet Gelegen- und Abgeschiedenheit zum Entspannen.,H 4.2,participant_54,4.0,Juni,2.8125,1.1875
Die Tat wurde mit Verlogen- und Trunkenheit begangen.,H 4'.3,participant_54,3.0,Juni,2.8125,0.1875
Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.,K 2.2,participant_54,3.0,Juni,2.8125,0.1875
Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,K 2'.3,participant_54,2.0,Juni,2.8125,-0.8125
Das ist seine Art von Öffentlich- und Wohltätigkeit.,K 5.4,participant_54,4.0,Juni,2.8125,1.1875
Das Weihnachtsfest bedeutet für viele eine Atmosphäre von Selig- und Heiligkeit.,K 5'.5,participant_54,4.0,Juni,2.8125,1.1875
Die Landschaft dort ist fried- und herrlich.,L 2.2,participant_54,2.0,Juni,2.8125,-0.8125
Das Lachen ist herz- und kindlich.,L 2'.3,participant_54,3.0,Juni,2.8125,0.1875
Das war schließ- und augenblicklich das Ende.,L 5.4,participant_54,4.0,Juni,2.8125,1.1875
Die Ergebnisse sind vertrau- und wissenschaftlich.,L 5'.5,participant_54,1.0,Juni,2.8125,-1.8125
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,Mis 3.4,participant_54,2.0,Juni,2.8125,-0.8125
Die Geisterbahn ist voller Grausam- und Dunkelheit.,Mis 3'.1,participant_54,1.0,Juni,2.8125,-1.8125
Die Oma hat viel Weis- und Zärtlichkeit für ihre Enkel.,Mis 6.6,participant_54,2.0,Juni,2.8125,-0.8125
Für sie gelten Konzepte wie Jungfräulich- und Keuschheit häufiger.,Mis 6'.7,participant_54,2.0,Juni,2.8125,-0.8125
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,Mix 3.4,participant_54,1.0,Juni,2.8125,-1.8125
Er hat freund- und höflich abgesagt.,Mix 3'.1,participant_54,3.0,Juni,2.8125,0.1875
Die Arbeitsleistung ist gewöhn- und ordentlich.,Mix 6.6,participant_54,2.0,Juni,2.8125,-0.8125
Das klingt als wäre er sehr empfind- und anhänglich.,Mix 6'.7,participant_54,3.0,Juni,2.8125,0.1875
In diesem Zustand ist die Deutsche Bahn leider weder pünkt- noch nützlich.,U 1.8,participant_54,2.0,Juni,2.8125,-0.8125
Die Lieder sind fröh- und tröstlich.,U 1'.1,participant_54,3.0,Juni,2.8125,0.1875
Sie fördert und fordert ihn nachdrück- und zärtlich.,U 4.2,participant_54,2.0,Juni,2.8125,-0.8125
Schottergärten sind häss- und grässlich.,U 4'.3,participant_54,4.0,Juni,2.8125,1.1875
Nudeln sind der neue Reis.,Deutsch_test_2,participant_54,3.0,Juni,2.8125,0.1875
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_54,1.0,Juni,2.8125,-1.8125
Die Katze wurde unter gestreichelt und gekrault.,F,participant_55,3.0,Dezember,3.4375,-0.4375
Der Polizist hat den komplizierten Fall endlich gelöst.,F,participant_55,7.0,Dezember,3.4375,3.5625
"Er weiß, der Mann hat das neue und teure Handy geklaut.",F,participant_55,6.0,Dezember,3.4375,2.5625
"In Bayern meinte sie, haben die Lehrer die Schüler mehr unter Kontrolle.",F,participant_55,6.0,Dezember,3.4375,2.5625
"Ihr fahrt gerne in die Berge, obwohl ihr wohnt sehr nahe am Meer.",F,participant_55,1.0,Dezember,3.4375,-2.4375
Da gelacht rüber hat der Moderator natürlich nicht.,F,participant_55,1.0,Dezember,3.4375,-2.4375
Ihr Auftreten strahlt Gewiss- und Sicherheit aus.,H 1.2,participant_55,4.0,Dezember,3.4375,0.5625
Der Diamant ist von seltener Rein- und Schönheit.,H 1'.3,participant_55,6.0,Dezember,3.4375,2.5625
Eine Ausbildung in Frankreich steht für Gewandt- und Kultiviertheit.,H 4.8,participant_55,5.0,Dezember,3.4375,1.5625
Sie strahlen Erhaben- und Vergangenheit aus.,H 4'.1,participant_55,3.0,Dezember,3.4375,-0.4375
Sie legt viel wert auf Höflich- und Pünktlichkeit.,K 2.4,participant_55,6.0,Dezember,3.4375,2.5625
Die Wichtig- und Richtigkeit der Erkenntnisse kann nicht oft genug betont werden.,K 2'.5,participant_55,5.0,Dezember,3.4375,1.5625
Jede Zeit kommt mit einer eigenen Idee von Männlich- und Weiblichkeit.,K 5.2,participant_55,5.0,Dezember,3.4375,1.5625
Die Erkenntnis über seine Gleichgültig- und Eitelkeit kam aber zu spät.,K 5'.3,participant_55,4.0,Dezember,3.4375,0.5625
Ihre Beziehung ist immer noch leidenschaft- und glücklich.,L 2.4,participant_55,4.0,Dezember,3.4375,0.5625
Der Schraubenzieher ist hand- und dünnlich.,L 2'.5,participant_55,3.0,Dezember,3.4375,-0.4375
Seine Antwort war ehr- und erstaunlich.,L 5.2,participant_55,1.0,Dezember,3.4375,-2.4375
weil er behilf- und niedlich ist.,L 5'.3,participant_55,4.0,Dezember,3.4375,0.5625
Die gute Zusammenarbeit basiert auf Vertraut- und Einigkeit.,Mis 3.6,participant_55,3.0,Dezember,3.4375,-0.4375
Die Zuständig- und Begebenheiten in dem Fall sind noch nicht geklärt.,Mis 3'.7,participant_55,3.0,Dezember,3.4375,-0.4375
Vor lauter Beschränkt- und Bitterkeit hat der Nachbar keinen Kontakt zu den anderen.,Mis 6.4,participant_55,1.0,Dezember,3.4375,-2.4375
Sie strahlt Glaubwürdig- und Selbstsicherheit aus.,Mis 6'.1,participant_55,1.0,Dezember,3.4375,-2.4375
Sie treffen sich täg- und heimlich.,Mix 3.6,participant_55,3.0,Dezember,3.4375,-0.4375
Die Durchsuchung Mitten in der Nacht war amt- und gründlich.,Mix 3'.7,participant_55,3.0,Dezember,3.4375,-0.4375
Der Auftritt war lächer- und peinlich.,Mix 6.4,participant_55,3.0,Dezember,3.4375,-0.4375
Nachhaltig zu leben ist verantwort- und natürlich.,Mix 6'.1,participant_55,3.0,Dezember,3.4375,-0.4375
wenn die jähr- und tödliche Malariasaison wieder vor der Tür steht.,U 1.2,participant_55,1.0,Dezember,3.4375,-2.4375
Der Pfarrer hat sie irrtüm- und kürzlich kontaktiert.,U 1'.3,participant_55,4.0,Dezember,3.4375,0.5625
Seine Verteidigung war widersprüch- und jämmerlich.,U 4.8,participant_55,3.0,Dezember,3.4375,-0.4375
Es schmeckt vorzüg- und köstlich.,U 4'.1,participant_55,2.0,Dezember,3.4375,-1.4375
Nudeln sind der neue Reis.,Deutsch_test_2,participant_55,5.0,Dezember,3.4375,1.5625
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_55,1.0,Dezember,3.4375,-2.4375
Bei der Schülerversammlung die Klassen wählen nacheinander und ordnungsgemäß die Schulsprecher.,F,participant_56,6.0,Mai,4.90625,1.09375
Der alte und geschützte Wald wurde vor gerodet.,F,participant_56,6.0,Mai,4.90625,1.09375
Die Mutter hat ihren kleinen Sohn zum Kindergarten gebracht.,F,participant_56,7.0,Mai,4.90625,2.09375
Die Nachbarin hat der Frau den neuen und großen Blumenladen empfohlen.,F,participant_56,7.0,Mai,4.90625,2.09375
Ich habe dem Kunden sich selbst im Spiegel präsentiert.,F,participant_56,7.0,Mai,4.90625,2.09375
Die Marathonläufer haben einander ihn als fähigen Trainer vorgeschlagen.,F,participant_56,7.0,Mai,4.90625,2.09375
Die Einfach- und Klarheit der Lösung erstaunte alle.,H 1.1,participant_56,7.0,Mai,4.90625,2.09375
Ihr Auftreten strahlt Sicher- und Gewissheit aus.,H 1'.2,participant_56,7.0,Mai,4.90625,2.09375
Die Tat wurde mit Trunken- und Verlogenheit begangen.,H 4.3,participant_56,7.0,Mai,4.90625,2.09375
Die Allgemein- und Gesamtheit der Regeln spricht dafür.,H 4'.4,participant_56,7.0,Mai,4.90625,2.09375
Den Redakteur würde ein Mangel an Aufmerksam- und Aufrichtigkeit am meisten stören.,K 2.3,participant_56,6.0,Mai,4.90625,1.09375
Sie legt viel wert auf Pünktlich- und Höflichkeit.,K 2'.4,participant_56,7.0,Mai,4.90625,2.09375
Das Weihnachtsfest umgibt eine Atmosphäre von Heilig- und Seligkeit.,K 5.5,participant_56,7.0,Mai,4.90625,2.09375
Die Ordensleute erzählen immer von Momenten der Barmherzig- und Glückseligkeit.,K 5'.6,participant_56,7.0,Mai,4.90625,2.09375
Das Lachen ist kind- und herzlich.,L 2.3,participant_56,5.0,Mai,4.90625,0.09375
Ihre Beziehung ist immer noch glück- und leidenschaftlich.,L 2'.4,participant_56,6.0,Mai,4.90625,1.09375
Die Ergebnisse sind wissenschaft- und vertraulich.,L 5.5,participant_56,4.0,Mai,4.90625,-0.90625
Am Anfang hat der Wein wider- und abscheulich geschmeckt.,L 5'.6,participant_56,3.0,Mai,4.90625,-1.90625
Die Geisterbahn ist voller Dunkel- und Grausamkeit.,Mis 3.1,participant_56,4.0,Mai,4.90625,-0.90625
Dafür sind Großzügig- und Verbundenheit entscheidend.,Mis 3'.2,participant_56,2.0,Mai,4.90625,-2.90625
Für sie gelten Konzepte wie Keusch- und Jungfräulichkeit häufiger.,Mis 6.7,participant_56,3.0,Mai,4.90625,-1.90625
Viele werden sich im Alter ihrer Sterblich- und Unzufriedenheit bewusst.,Mis 6'.8,participant_56,4.0,Mai,4.90625,-0.90625
Er hat höf- und freundlich abgesagt.,Mix 3.1,participant_56,2.0,Mai,4.90625,-2.90625
Die Bezahlung vieler Berufe ist leid- und kümmerlich.,Mix 3'.2,participant_56,3.0,Mai,4.90625,-1.90625
Das klingt als wäre er sehr anhäng- und empfindlich.,Mix 6.7,participant_56,3.0,Mai,4.90625,-1.90625
Der ganze Papierkram für ein Visum ist erforder- und umständlich.,Mix 6'.8,participant_56,5.0,Mai,4.90625,0.09375
Die Lieder sind tröst- und fröhlich.,U 1.1,participant_56,3.0,Mai,4.90625,-1.90625
wenn die töd- und jährliche Malariasaison wieder vor der Tür steht.,U 1'.2,participant_56,4.0,Mai,4.90625,-0.90625
Schottergärten sind gräss- und hässlich.,U 4.3,participant_56,1.0,Mai,4.90625,-3.90625
Der Tiger hat den Pfleger plötz- und vorsätzlich angegriffen.,U 4'.4,participant_56,7.0,Mai,4.90625,2.09375
Nudeln sind der neue Reis.,Deutsch_test_2,participant_56,2.0,Mai,4.90625,-2.90625
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_56,1.0,Mai,4.90625,-3.90625
Der Kaiser hat dem Fürsten den berühmten und begabten Maler empfohlen.,F,participant_57,6.0,Februar,3.59375,2.40625
"Im Einkaufszentrum meint sie, hat der Ladenbesitzer den eleganten und gut geführten Laden geschlossen.",F,participant_57,6.0,Februar,3.59375,2.40625
Die Bergführer haben einander ihn als kompetenten und zuverlässigen Begleiter empfohlen.,F,participant_57,3.0,Februar,3.59375,-0.59375
Beim Stammtisch die drei Freunde spielen mit Vorliebe Skat und Würfeln.,F,participant_57,2.0,Februar,3.59375,-1.59375
Die Suppe wurde gegen versalzen.,F,participant_57,2.0,Februar,3.59375,-1.59375
Der Patient hat den geldgierigen und unprofessionellen Zahnarzt überlistet.,F,participant_57,6.0,Februar,3.59375,2.40625
Das ist die Verrückt- und Besonderheit ihrer Herangehensweise.,H 1.5,participant_57,4.0,Februar,3.59375,0.40625
Die Klar- und Einfachheit der Lösung erstaunte alle.,H 1'.1,participant_57,4.0,Februar,3.59375,0.40625
Eigenschaften wie Lüstern- und Verderbtheit sind absolut unpassend.,H 4.6,participant_57,5.0,Februar,3.59375,1.40625
Der Richter vermittelt mit Rechtschaffen- und Besonnenheit.,H 4'.7,participant_57,5.0,Februar,3.59375,1.40625
Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.,K 2.2,participant_57,3.0,Februar,3.59375,-0.59375
Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,K 2'.3,participant_57,3.0,Februar,3.59375,-0.59375
Für eine Sekunde war der Zauber von Unsterblich- und Unendlichkeit zu spüren.,K 5.8,participant_57,6.0,Februar,3.59375,2.40625
Der Autounfall ist auf Unzurechnungsfähig- und Fahrlässigkeit zurückzuführen.,K 5'.1,participant_57,2.0,Februar,3.59375,-1.59375
Die Landschaft dort ist fried- und herrlich.,L 2.2,participant_57,2.0,Februar,3.59375,-1.59375
Das Lachen ist herz- und kindlich.,L 2'.3,participant_57,2.0,Februar,3.59375,-1.59375
Selbst für erfahrene Rettungskräfte war der Anblick entsetz- und sonderlich.,L 5.8,participant_57,3.0,Februar,3.59375,-0.59375
Die Neuigkeiten sind für sie gleichzeitig bedroh- und erfreulich.,L 5'.1,participant_57,3.0,Februar,3.59375,-0.59375
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,Mis 3.4,participant_57,4.0,Februar,3.59375,0.40625
Die Welthungerhilfe betont die Notwendig- und Knappheit von Lebensmitteln.,Mis 3'.5,participant_57,3.0,Februar,3.59375,-0.59375
Für Kinder sind Geborgen- und Unabhängigkeit wichtig.,Mis 6.2,participant_57,7.0,Februar,3.59375,3.40625
Die Autorin wirkte sehr sympathisch durch ihre Liebenswürdig- und Bescheidenheit.,Mis 6'.3,participant_57,2.0,Februar,3.59375,-1.59375
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,Mix 3.4,participant_57,4.0,Februar,3.59375,0.40625
Im Kindergarten wird alles schwester- und brüderlich geteilt.,Mix 3'.5,participant_57,5.0,Februar,3.59375,1.40625
Mutproben sind gefähr- und schrecklich.,Mix 6.2,participant_57,2.0,Februar,3.59375,-1.59375
Sie hat aber wirk- und tatsächlich mehr verlangt.,Mix 6'.3,participant_57,2.0,Februar,3.59375,-1.59375
Sie ist eher so der häus- und ängstliche Typ.,U 1.4,participant_57,2.0,Februar,3.59375,-1.59375
Die Lieder sind fröh- und tröstlich.,U 1'.1,participant_57,3.0,Februar,3.59375,-0.59375
Die Bank will buchstäb- und zusätzlich hundert tausend Euro.,U 4.6,participant_57,3.0,Februar,3.59375,-0.59375
Eine Zeitung ist ein auf die Gegenwart alltäg- und bezügliches Medium.,U 4'.7,participant_57,3.0,Februar,3.59375,-0.59375
Nudeln sind der neue Reis.,Deutsch_test_2,participant_57,6.0,Februar,3.59375,2.40625
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_57,2.0,Februar,3.59375,-1.59375
"Der Zuschauer denkt er, dass die Sendung angeguckt hat.",F,participant_58,7.0,Oktober,4.133333333,2.8666666669999996
Der Junge wurde vor benotet und bewertet.,F,participant_58,1.0,Oktober,4.133333333,-3.1333333330000004
Am Strand liegen viele Urlauber in der Sonne.,F,participant_58,7.0,Oktober,4.133333333,2.8666666669999996
Am Strand liegen viele Urlauber in der Sonne.,F,participant_58,7.0,Oktober,4.133333333,2.8666666669999996
