condition,item,first,second
H 1'.2,Ihr Auftreten strahlt Sicher- und Gewissheit aus.,Sicher,Gewissheit
K 2.2,"In Umfragen hat die Partei unterschiedlich viele Stimmen erhalten.
Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.",Möglich,Wahrscheinlichkeit
K 2'.2,Fachleute waren sich uneinig über die Wahrscheinlich- und Möglichkeit eines Wahlsieges.,Wahrscheinlich,Möglichkeit
Mis 3.2,"Die Familie hat eine enge Bindung.
Dafür sind Verbunden- und Großzügigkeit entscheidend.",Verbunden,Großzügigkeit
Mis 3'.2,Dafür sind Großzügig- und Verbundenheit entscheidend.,Großzügig,Verbundenheit
H 4.2,"Das Hotel liegt am Ende des Tals.
Das Hotel bietet Gelegen- und Abgeschiedenheit zum Entspannen.",Gelegen,Abgeschiedenheit
H 4'.2,Das Hotel bietet Abgeschieden- und Gelegenheit zum Entspannen.,Abgeschieden,Gelegenheit
K 5.2,"An der Mode im Laufe der Zeit lassen sich Hinweise auf die Geschlechterrollen erkennen.
Jede Zeit kommt mit einer eigenen Idee von Männlich- und Weiblichkeit.",Männlich,Weiblichkeit
L 5'.2,Seine Antwort war erstaun- und ehrlich.,erstaun,ehrlich
Mix 6.2,"Immer wieder sterben junge Leute bei Mutproben.
Mutproben sind gefähr- und schrecklich.",gefähr,schrecklich
Mix 6'.2,Mutproben sind schreck- und gefährlich.,schreck,gefährlich
U 1.2,"Die Apotheken legen sich im Mai einen Vorrat an Malariamedikamenten zu,
wenn die jähr- und tödliche Malariasaison wieder vor der Tür steht.",jähr,tödliche
U 1'.2,wenn die töd- und jährliche Malariasaison wieder vor der Tür steht.,töd,jährliche
L 2.2,"Irland ist ein beliebtes Urlaubsziel.
Die Landschaft dort ist fried- und herrlich.",fried,herrlich
L 2'.2,Die Landschaft dort ist herr- und friedlich.,herr,friedlich
Mix 3.2,"Ein Grund für den Fachkräftemangel ist die Bezahlung.
Die Bezahlung vieler Berufe ist kümmer- und leidlich.",kümmer,leidlich
Mix 3'.2,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
U 4.2,"Die Betreuerin widmet sich dem Jungen mit viel Aufmerksamkeit.
Sie fördert und fordert ihn nachdrück- und zärtlich.",nachdrück,zärtlich
U 4'.2,Sie fördert und fordert ihn zärt- und nachdrücklich.,zärt,nachdrücklich
L 5.2,"Der Polizist hat zugegeben, einen Fehler gemacht zu haben.
Seine Antwort war ehr- und erstaunlich.",ehr,erstaunlich
Mis 6.3,"Von der Lesung waren alle begeistert.
Die Autorin wirkte sehr sympathisch durch ihre Bescheiden- und Liebenswürdigkeit.",Bescheiden,Liebenswürdigkeit
Mis 6'.3,Die Autorin wirkte sehr sympathisch durch ihre Liebenswürdig- und Bescheidenheit.,Liebenswürdig,Bescheidenheit
H 1.3,"Im Ring des Königs ist ein Diamant eingefasst.
Der Diamant ist von seltener Schön- und Reinheit.",Schön,Reinheit
H 1'.3,Der Diamant ist von seltener Rein- und Schönheit.,Rein,Schönheit
K 2.3,"Der Redakteur ist relativ zufrieden mit seinem Team.
Den Redakteur würde ein Mangel an Aufmerksam- und Aufrichtigkeit am meisten stören.",Aufmerksam,Aufrichtigkeit
K 2'.3,Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,Aufrichtig,Aufmerksamkeit
Mis 3.3,"Die Mitschülerin hat das Mädchen gehänselt.
Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.",Gemein,Hässlichkeit
Mis 3'.3,Das Verhalten ist an Hässlich- und Gemeinheit nicht zu übertreffen.,Hässlich,Gemeinheit
H 4.3,"Jugendliche haben sich als Putzkräfte verkleidet und das Museum ausgeraubt.
Die Tat wurde mit Trunken- und Verlogenheit begangen.",Trunken,Verlogenheit
H 4'.3,Die Tat wurde mit Verlogen- und Trunkenheit begangen.,Verlogen,Trunkenheit
K 5.3,"Der Betriebsrat hat sich im neuen Eigentümer getäuscht.
Die Erkenntnis über seine Eitel- und Gleichgültigkeit kam aber zu spät.",Eitel,Gleichgültigkeit
K 5'.3,Die Erkenntnis über seine Gleichgültig- und Eitelkeit kam aber zu spät.,Gleichgültig,Eitelkeit
Mix 6.3,"Die Firma hat der Studentin ein Angebot gemacht.
Sie hat aber tatsäch- und wirklich mehr verlangt.",tatsäch,wirklich
Mix 6'.3,Sie hat aber wirk- und tatsächlich mehr verlangt.,wirk,tatsächlich
U 1.3,"Die Sekretärin ruft den Pfarrer zurück.
Der Pfarrer hat sie kürz- und irrtümlich kontaktiert.",kürz,irrtümlich
U 1'.3,Der Pfarrer hat sie irrtüm- und kürzlich kontaktiert.,irrtüm,kürzlich
L 2.3,"Die Kinder sind schon von weitem zu hören.
Das Lachen ist kind- und herzlich.",kind,herzlich
L 2'.3,Das Lachen ist herz- und kindlich.,herz,kindlich
Mix 3.3,"Im Mittelalter waren Staat und Kirche nicht getrennt.
Bischöfe bestimmten die gött- und weltliche Ordnung.",gött,weltliche
Mix 3'.3,Bischöfe bestimmten die welt- und göttliche Ordnung.,welt,göttliche
U 4.3,"Die neuen Nachbarn gestalten ihren Vorgarten mit Schotter.
Schottergärten sind gräss- und hässlich.",gräss,hässlich
U 4'.3,Schottergärten sind häss- und grässlich.,häss,grässlich
L 5.3,"Der neue Therapiehund ist sehr beliebt,
weil er nied- und behilflich ist.",nied,behilflich
L 5'.3,weil er behilf- und niedlich ist.,behilf,niedlich
Mis 6'.4,Vor lauter Bitter- und Beschränktheit hat der Nachbar keinen Kontakt zu den anderen.,Bitter,Beschränktheit
H 1.5,"Die Professorin hat in der Vorlesung ein Lied gesungen.
Das ist die Verrückt- und Besonderheit ihrer Herangehensweise.",Verrückt,Besonderheit
H 1'.4,Der Anwalt setzt sich für die Frei- und Gleichheit aller Menschen ein.,Frei,Gleichheit
K 2.4,"Die Chefin war enttäuscht vom Verhalten ihres Mitarbeiters.
Sie legt viel wert auf Höflich- und Pünktlichkeit.",Höflich,Pünktlichkeit
K 2'.4,Sie legt viel wert auf Pünktlich- und Höflichkeit.,Pünktlich,Höflichkeit
Mis 3.4,"Papst zu werden, ist eine große Errungenschaft.
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.",Berühmt,Herrlichkeit
Mis 3'.4,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,Herrlich,Berühmtheit
H 4.4,"Die Spielerin fragt sich, ob ihr Spielzug erlaubt war.
Die Gesamt- und Allgemeinheit der Regeln spricht dafür.",Gesamt,Allgemeinheit
H 4'.4,Die Allgemein- und Gesamtheit der Regeln spricht dafür.,Allgemein,Gesamtheit
K 5.4,"Der Sänger gibt jedes Jahr ein Benefizkonzert.
Das ist seine Art von Öffentlich- und Wohltätigkeit.",Öffentlich,Wohltätigkeit
K 5'.4,Das ist seine Art von Wohltätig- und Öffentlichkeit.,Wohltätig,Öffentlichkeit
Mis 6.4,"Alle außer ein Nachbar leben in guter Gemeinschaft.
Vor lauter Beschränkt- und Bitterkeit hat der Nachbar keinen Kontakt zu den anderen.",Beschränkt,Bitterkeit
Mix 6'.4,Der Auftritt war pein- und lächerlich.,pein,lächerlich
U 1.4,"Die Autorin arbeitet gerne zu Hause.
Sie ist eher so der häus- und ängstliche Typ.",häus,ängstliche
U 1'.4,Sie ist eher so der ängst- und häusliche Typ.,ängst,häusliche
L 2.4,"Das Paar ist seit 10 Jahren verheiratet.
Ihre Beziehung ist immer noch leidenschaft- und glücklich.",leidenschaft,glücklich
L 2'.4,Ihre Beziehung ist immer noch glück- und leidenschaftlich.,glück,leidenschaftlich
Mix 3.4,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3'.4,Oft ist mit dem mensch- und männlichen Körper ein und das Selbe gemeint.,mensch,männlichen
U 4.4,"Der Vorfall im Tigergehege hat alle überrascht und schockiert.
Der Tiger hat den Pfleger vorsätz- und plötzlich angegriffen.",vorsätz,plötzlich
U 4'.4,Der Tiger hat den Pfleger plötz- und vorsätzlich angegriffen.,plötz,vorsätzlich
L 5.4,"Nach dem Konzert ging das Licht in der Halle an.
Das war schließ- und augenblicklich das Ende.",schließ,augenblicklich
L 5'.4,Das war augenblick- und schließlich das Ende.,augenblick,schließlich
Mix 6.4,"Die Trauzeugin hat bei der Hochzeit gesungen.
Der Auftritt war lächer- und peinlich.",lächer,peinlich
